Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
43.2	0.00051354	-0.00890468	0.00463898	0.0204314
43.3	0.000260371	-0.00884432	0.00467339	0.0202067
43.4	0.000434844	-0.00901056	0.00465957	0.02026
43.5	0.000291825	-0.00905973	0.004796	0.0201782
43.6	0.000437141	-0.00917021	0.00466901	0.0204222
43.7	0.000739325	-0.00916593	0.00451344	0.0204967
43.8	0.000439719	-0.00902191	0.00467359	0.0207916
43.9	0.000489152	-0.00931421	0.00478229	0.020688
44	0.000357586	-0.0093454	0.00455546	0.0210273
44.1	0.000346841	-0.00932748	0.00484892	0.0208354
44.2	0.000415783	-0.00919157	0.00469021	0.0210122
44.3	0.000242755	-0.00911475	0.00479094	0.0211021
44.4	0.000174443	-0.00948009	0.00479488	0.0210262
44.5	0.000444949	-0.00933867	0.00494176	0.0210045
44.6	0.000474761	-0.00970504	0.00480925	0.0209458
44.7	0.000464268	-0.00957123	0.00512239	0.0210681
44.8	0.000332271	-0.00959122	0.00516128	0.0209819
44.9	0.000556626	-0.00956711	0.00520361	0.0208108
45	0.000509811	-0.00971725	0.00505191	0.0211303
45.1	0.000475822	-0.00970341	0.00507509	0.0212088
45.2	0.000366515	-0.0094234	0.00464122	0.0214382
