TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:25:47.953	363	-0.0809442	-0.164758	-0.191386	0.064272
15:25:48.953	364	-0.0818731	-0.166049	-0.191104	0.0638148
15:25:49.953	365	-0.0809731	-0.167472	-0.190671	0.0632248
15:25:50.953	366	-0.0802094	-0.167601	-0.190399	0.0629086
15:25:51.953	367	-0.0793852	-0.167128	-0.190288	0.0634369
15:25:52.953	368	-0.0784268	-0.166652	-0.190015	0.063996
15:25:53.953	369	-0.0769766	-0.165674	-0.189506	0.0646349
15:25:54.953	370	-0.075817	-0.164319	-0.189003	0.065123
15:25:55.953	371	-0.0751293	-0.163468	-0.188931	0.0653848
15:25:56.953	372	-0.0745407	-0.163083	-0.189182	0.0651442
15:25:57.953	373	-0.0741641	-0.163252	-0.189453	0.0656125
15:25:58.953	374	-0.076648	-0.16371	-0.19013	0.0659011
15:25:59.953	375	-0.0789264	-0.164131	-0.190196	0.0662353
15:26:00.953	376	-0.0784076	-0.163958	-0.190517	0.0664426
15:26:01.953	377	-0.0772918	-0.163573	-0.1905	0.067106
15:26:02.953	378	-0.0761086	-0.163366	-0.190179	0.0679985
15:26:03.953	379	-0.075095	-0.163179	-0.189874	0.069249
15:26:04.953	380	-0.0740649	-0.162312	-0.189336	0.0694855
15:26:05.953	381	-0.073195	-0.162172	-0.189142	0.0699876
15:26:06.953	382	-0.0724389	-0.1618	-0.188929	0.0710319
15:26:07.953	383	-0.0714633	-0.161159	-0.188693	0.0713803
15:26:08.953	384	-0.0707375	-0.160145	-0.188473	0.0721276
15:26:09.953	385	-0.07001	-0.15941	-0.188199	0.0726473
15:26:10.953	386	-0.0686552	-0.158762	-0.188063	0.0721257
15:26:11.953	387	-0.0679385	-0.1588	-0.187967	0.0740831
15:26:12.953	388	-0.068229	-0.158441	-0.187915	0.0750492
